Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimNb,target
0.28,0,4,10,55,50,10,0,39,17,2,8.537711249005632
0.28,0,4,10,55,50,10,0,39,17,2,7.173030686573005
0.79,2,6,7,31,90,6,0,195,17,1,7.094234845924755
0.5,5,4,1,64,66,3,1,27000,0,1,7.094234845924755
0.67,2,8,0,63,50,3,0,335,5,1,6.401917196727186
0.45,3,6,2,65,50,3,0,1191,0,1,7.094234845924755
0.59,2,8,2,38,50,3,0,102,20,1,7.094234845924755
0.97,2,10,10,49,52,3,0,177,20,1,7.029087564149662
0.5,1,7,1,29,80,3,0,82,11,1,6.467698726104354
0.8,3,7,5,36,51,3,1,534,15,1,5.469788604287577
0.38,1,8,2,44,80,3,1,70,6,1,7.094234845924755
0.23,0,11,4,32,50,3,0,8,21,1,8.449862509155624
0.79,4,7,1,52,50,3,1,2498,14,2,6.654435985157866
0.79,4,7,1,52,50,3,1,2498,14,2,7.094234845924755
0.12,2,6,8,37,85,3,1,121,20,1,7.094234845924755
0.38,4,5,0,46,80,3,0,3430,20,1,7.094234845924755
0.89,4,8,0,73,50,3,1,5936,0,1,7.094234845924755
0.38,1,6,2,32,64,0,0,55,2,1,6.609537904614974
0.6,4,4,1,24,100,3,0,3214,18,1,6.401917196727186
0.53,0,12,1,56,50,3,0,8,14,2,6.322816554844147
0.53,0,12,1,56,50,3,0,8,14,2,7.094234845924755
0.45,5,5,1,38,76,3,1,15725,0,2,6.49143648211589
0.45,5,5,1,38,76,3,1,15725,0,2,7.2860410184167606
0.63,5,5,3,59,50,3,1,27000,0,1,7.094234845924755
0.49,0,8,1,39,67,3,0,23,15,1,7.094234845924755
0.45,2,5,2,66,50,3,1,116,17,1,6.145493790990766
0.71,3,5,10,43,60,3,0,711,17,1,4.760120545985914
0.41,1,5,6,75,50,3,1,64,14,1,9.625137798224815
0.78,0,11,2,42,50,3,0,16,15,1,6.401917196727186
0.59,3,10,2,58,50,3,1,883,20,1,7.051751721454424
0.63,5,4,0,24,72,3,1,27000,0,1,7.02919384725252
0.78,4,5,10,24,76,7,1,3200,7,1,7.094234845924755
0.09,0,7,1,66,50,3,0,5,16,1,7.094234845924755
0.16,3,7,10,49,50,3,1,824,19,1,7.094234845924755
0.95,2,5,2,41,50,3,1,127,20,1,7.02919384725252
0.11,5,7,10,35,63,3,1,27000,0,1,4.419442836059304
0.76,1,7,10,60,50,0,0,59,12,1,7.094234845924755
0.79,3,4,2,52,76,3,0,824,19,1,7.094234845924755
0.83,5,8,0,47,50,3,1,27000,0,1,7.094234845924755
0.36,3,4,2,50,76,3,0,609,20,1,7.536363938404511
0.81,3,10,2,64,50,3,1,675,19,1,6.621405651764134
0.69,4,7,0,48,50,3,0,3339,0,1,7.094234845924755
0.54,2,6,15,53,60,3,1,116,18,1,7.094234845924755
0.09,4,7,0,28,76,3,0,3963,19,2,9.77667241245263
0.09,4,7,0,28,76,3,0,3963,19,2,7.094234845924755
0.85,4,8,1,43,50,3,0,3744,20,1,7.094234845924755
0.9,2,8,1,65,50,2,0,219,0,1,7.094234845924755
0.39,4,10,5,45,85,9,0,3385,0,1,6.322816554844147
0.45,0,4,4,24,90,3,1,29,19,1,6.007067190335389
0.58,0,5,2,64,50,3,1,18,20,1,7.094234845924755
0.68,4,6,10,45,50,9,1,3019,15,1,6.617402977974478
0.39,4,4,1,24,100,3,1,5360,0,2,8.650879322068214
0.39,4,4,1,24,100,3,1,5360,0,2,7.421177528595393
0.45,3,6,1,48,64,3,1,1368,0,1,7.914303447023966
0.87,4,4,5,43,57,3,1,3946,17,1,6.401917196727186
0.84,0,8,1,62,50,3,0,22,19,2,7.094234845924755
0.77,2,11,4,58,50,3,1,309,14,1,7.029087564149662
0.83,5,8,1,42,50,3,1,10477,0,2,6.545608247587509
0.83,5,8,1,42,50,3,1,10477,0,2,7.152675977532612
0.87,4,12,1,49,50,3,0,4220,0,1,6.401917196727186
0.78,2,6,8,40,58,3,0,182,19,1,4.612344389736092
0.45,4,5,1,74,50,3,1,3744,20,1,4.399989335048054
0.71,1,6,3,74,50,3,1,75,14,1,6.670855036809103
0.95,4,6,10,69,50,3,1,5376,0,1,5.572344128176816
0.48,2,8,1,34,71,3,0,162,20,2,6.322816554844147
0.48,2,8,1,34,71,3,0,162,20,2,7.186144304522325
0.02,0,12,10,33,57,3,0,34,15,1,4.590056548178043
0.53,4,5,4,38,50,3,1,5410,0,1,7.094234845924755
0.53,5,10,2,39,95,3,1,27000,0,2,6.51989921755983
0.69,2,6,7,50,75,0,1,317,0,1,7.02919384725252
0.77,3,4,1,42,50,3,0,879,17,1,7.094234845924755
0.47,0,6,10,50,50,4,0,21,11,1,8.366851581196922
0.12,4,4,1,32,72,3,0,2446,20,1,7.094234845924755
0.53,2,11,10,47,72,1,1,388,20,1,6.401917196727186
0.62,2,5,9,44,78,9,0,133,17,1,6.401917196727186
0.94,0,5,15,27,68,6,1,20,4,1,6.617402977974478
0.27,2,6,10,48,50,0,0,411,0,1,7.094234845924755
0.36,1,4,4,74,50,3,1,60,14,1,7.094234845924755
0.41,1,4,15,54,89,8,1,93,19,1,7.094234845924755
0.62,4,7,10,44,50,3,1,4128,11,1,7.094234845924755
0.65,3,6,9,25,72,6,0,645,21,2,7.08930153530834
0.67,2,7,1,36,50,3,0,145,17,2,10.355565535603988
0.5,4,4,1,30,80,3,0,6485,0,1,7.094234845924755
0.61,4,4,3,25,72,3,1,3301,15,1,5.467553683793335
0.8,3,10,0,51,50,3,1,776,20,1,7.094234845924755
0.78,3,10,8,54,50,7,1,1326,20,1,7.094234845924755
0.72,1,12,1,50,50,3,0,86,0,1,7.094234845924755
0.67,3,9,10,34,78,4,0,1090,7,3,7.094234845924755
0.71,3,7,6,23,85,2,0,1309,14,1,8.825643601186723
0.28,2,6,1,48,50,3,1,175,14,2,11.209559168943453
0.28,2,6,1,48,50,3,1,175,14,2,6.401917196727186
0.79,3,8,1,46,50,3,0,748,0,1,7.094234845924755
0.13,3,8,0,24,72,3,0,923,0,1,7.094234845924755
0.81,0,4,0,37,50,3,0,27,10,1,7.094234845924755
0.69,5,11,1,42,72,3,0,10156,0,1,7.094234845924755
0.78,2,8,2,39,50,3,0,127,14,1,7.094234845924755
0.87,1,7,1,39,51,3,0,78,15,1,6.322816554844147
0.54,2,4,2,61,50,3,1,156,14,1,7.094234845924755
0.96,3,10,2,43,50,3,1,1807,0,1,7.094234845924755
0.5,4,8,1,52,50,3,0,2715,20,1,7.094234845924755
0.7,2,7,6,55,50,0,1,206,19,1,7.094234845924755
0.49,1,10,10,26,72,3,0,88,18,1,7.094234845924755
0.79,0,4,2,52,50,3,0,35,17,1,7.094234845924755
0.51,0,11,1,49,50,3,0,20,18,1,7.094234845924755
0.62,4,7,2,58,50,3,1,2472,17,1,5.535166564918359
0.9,4,5,0,25,80,9,0,2365,7,1,7.159144148936638
0.71,3,7,4,55,50,3,0,1482,17,1,5.609251990809968
0.57,2,7,2,26,95,3,1,411,7,1,7.094234845924755
0.53,4,5,2,30,76,3,1,3184,0,1,6.322816554844147
0.71,5,5,2,46,50,6,0,27000,0,2,7.094234845924755
0.62,3,4,5,27,100,3,1,1541,19,1,7.951231812738217
0.52,2,4,2,35,60,3,0,149,2,1,7.094234845924755
0.51,2,10,1,56,50,3,0,312,0,1,7.094234845924755
0.93,2,4,1,34,100,3,1,204,19,1,7.094234845924755
0.8,3,12,1,41,50,3,0,688,0,1,7.094234845924755
0.61,3,7,1,69,65,3,0,673,2,1,7.094234845924755
0.79,5,10,3,31,76,3,1,27000,0,1,7.094234845924755
0.62,4,8,2,47,55,3,0,2580,14,1,7.094234845924755
0.71,5,5,3,55,50,3,0,10156,0,1,6.401917196727186
0.87,2,4,2,81,51,3,1,140,13,1,7.094234845924755
0.13,3,7,3,32,64,3,0,1571,7,2,6.322816554844147
0.13,3,7,3,32,64,3,0,1571,7,2,6.293419278846481
0.53,4,11,7,54,50,1,1,2694,13,1,7.094234845924755
0.67,2,10,0,60,50,3,1,458,20,1,7.639555704023161
0.79,1,4,4,51,52,3,1,79,19,2,6.956526395351113
0.79,1,4,4,51,52,3,1,79,19,2,7.094234845924755
0.54,2,7,1,65,50,3,1,346,2,1,6.401917196727186
0.95,4,5,4,57,50,3,0,3274,0,1,7.094234845924755
0.63,3,4,2,41,63,3,0,1817,1,2,6.8674852154532795
0.63,3,4,2,41,63,3,0,1817,1,2,6.401917196727186
0.53,4,5,3,54,50,6,0,4617,1,1,7.094234845924755
0.87,3,4,1,38,80,3,0,721,20,1,7.094234845924755
0.54,1,8,2,57,50,3,0,75,3,1,7.094234845924755
0.71,2,4,15,53,51,7,0,262,20,1,7.094234845924755
0.79,4,12,1,62,50,3,0,6127,0,1,7.6105755242377695
0.54,4,7,1,50,50,3,0,3963,19,1,7.094234845924755
0.64,4,7,3,38,50,3,0,5723,17,1,7.094234845924755
0.71,3,6,1,70,50,3,1,1699,19,1,9.5996144431373
0.58,4,5,10,57,100,4,0,4650,0,2,4.419442836059304
0.49,3,11,0,49,50,3,0,709,20,2,7.094234845924755
0.8,3,4,1,45,50,3,1,1005,20,1,7.02919384725252
0.1,0,4,3,60,50,3,1,37,11,2,6.322816554844147
0.1,0,4,3,60,50,3,1,37,11,2,7.338738674977153
0.53,0,5,2,50,50,3,1,10,18,1,7.094234845924755
0.73,4,11,4,43,50,3,0,2411,0,1,6.401917196727186
0.66,3,6,2,64,106,3,0,824,19,1,7.094234845924755
0.87,3,7,10,53,68,6,1,824,19,1,6.4047324672791675
0.88,3,8,5,46,64,9,1,1358,0,1,9.6884925861429
0.6,4,4,5,49,50,0,1,2907,0,1,6.950718978414253
0.78,3,5,7,26,95,7,0,1218,3,1,6.401917196727186
0.64,2,7,0,39,50,3,0,167,0,1,7.02919384725252
0.75,1,5,3,52,50,0,0,55,14,1,7.824026010656289
0.87,2,6,15,45,80,0,0,254,0,1,6.616934954029853
0.51,3,7,10,29,85,6,0,1767,7,1,6.910750787961936
0.47,3,5,0,48,72,3,1,721,20,2,8.785840751496025
0.7,0,7,1,58,50,3,0,10,20,1,7.02919384725252
0.47,3,5,0,48,72,3,1,721,20,2,7.094234845924755
0.56,2,7,1,24,100,3,1,411,7,1,6.322816554844147
0.65,4,10,6,61,92,4,0,5033,0,1,7.094234845924755
0.7,2,4,3,57,80,3,1,342,20,1,7.094234845924755
0.92,4,10,1,60,50,3,0,3963,19,2,6.936760529984207
0.92,4,10,1,60,50,3,0,3963,19,2,6.401917196727186
0.71,4,6,1,37,80,3,0,4348,14,1,7.094234845924755
0.54,1,7,4,29,72,3,1,67,19,1,4.507557357121091
0.45,3,4,1,45,60,3,1,1793,15,1,7.094234845924755
0.92,5,8,1,54,50,3,0,21410,0,2,7.094234845924755
0.46,4,6,8,30,95,3,1,2983,7,1,6.401917196727186
0.54,1,10,6,26,85,3,0,91,2,1,7.094234845924755
0.71,3,5,3,56,50,3,1,824,19,1,6.401917196727186
0.5,5,12,5,59,76,3,0,27000,0,2,8.670557848122531
0.5,5,12,5,59,76,3,0,27000,0,2,8.921781915612181
0.18,4,8,0,52,50,3,0,3317,20,1,7.094234845924755
0.84,4,5,1,50,50,3,1,3663,0,1,7.094234845924755
0.55,3,4,4,44,50,3,1,1700,0,1,7.186144304522325
0.88,3,4,2,24,80,3,0,876,3,1,7.543686396981655
0.99,0,5,0,28,80,3,1,43,19,1,7.02919384725252
0.63,5,7,1,49,50,3,1,15703,0,1,6.401917196727186
0.71,1,6,7,44,50,3,0,88,6,2,7.540892336382669
0.71,1,6,7,44,50,3,0,88,6,2,8.97727273946428
0.7,3,8,2,65,50,3,0,512,0,1,6.8639496712446615
0.79,3,7,10,25,80,3,1,910,7,1,5.964607092938099
0.96,4,10,4,65,76,3,1,5433,20,2,6.322816554844147
0.96,4,10,4,65,76,3,1,5433,20,2,7.094234845924755
0.95,4,8,2,65,64,3,0,4087,12,1,6.401917196727186
0.56,4,7,2,70,50,3,1,4172,17,1,6.401917196727186
0.41,4,8,2,45,85,10,0,3385,0,2,7.094234845924755
0.59,3,8,3,41,50,3,0,1421,0,1,7.094234845924755
0.43,3,4,3,57,106,3,1,1895,10,1,7.094234845924755
0.64,4,8,0,60,50,3,0,5831,0,1,7.094234845924755
0.87,3,9,3,39,50,3,1,534,15,1,7.094234845924755
0.58,0,10,1,80,50,3,1,45,13,1,6.821260132359043
0.75,1,7,0,63,72,3,0,66,20,1,7.094234845924755
0.88,4,7,1,34,64,3,0,3834,0,1,7.094234845924755
0.7,4,7,4,81,50,3,1,5332,0,1,7.094234845924755
0.91,3,6,0,50,50,3,0,1609,0,1,7.02919384725252
0.01,1,4,3,50,50,6,1,94,18,1,8.56314504567802
0.78,0,5,2,50,90,3,0,17,6,1,8.63654122404799
0.54,5,5,2,53,80,3,1,27000,0,1,7.094234845924755
0.63,4,12,1,57,56,3,0,2580,14,1,7.094234845924755
0.93,2,4,1,51,50,3,0,455,19,2,8.174215439744895
0.93,2,4,1,51,50,3,0,455,19,2,7.186144304522325
0.28,5,10,10,43,81,6,1,27000,0,1,6.616934954029853
0.41,3,5,10,26,90,7,0,1289,7,3,5.088028340670028
0.41,3,5,10,26,90,7,0,1289,7,3,7.793413592495157
0.79,2,11,1,40,50,3,1,342,20,2,8.856477185625243
0.79,2,11,1,40,50,3,1,342,20,2,7.094234845924755
0.71,4,6,2,53,50,7,0,3173,0,1,7.258616355096261
0.78,5,4,3,36,90,3,1,27000,0,1,7.094234845924755
0.69,1,7,2,49,50,3,0,65,15,1,7.094234845924755
0.69,3,10,10,24,106,2,1,886,13,1,7.094234845924755
0.3,0,4,1,71,50,3,1,42,11,3,8.888894669371593
0.3,0,4,1,71,50,3,1,42,11,3,7.094234845924755
0.95,1,6,8,34,57,3,0,75,2,1,7.094234845924755
0.66,5,5,1,41,50,1,0,16533,0,1,7.094234845924755
0.56,5,10,0,52,50,3,1,17140,0,1,7.094234845924755
0.7,4,11,2,50,50,3,0,5410,0,1,7.038950194167862
0.41,2,4,1,33,67,3,0,122,17,1,7.094234845924755
0.78,0,8,2,33,60,3,0,4,20,2,9.854464836328567
0.78,0,8,2,33,60,3,0,4,20,2,7.094234845924755
0.47,2,7,0,54,50,3,0,127,14,2,8.598684695231468
0.47,2,7,0,54,50,3,0,127,14,2,6.401917196727186
0.7,5,6,3,60,50,3,1,27000,0,1,7.094234845924755
0.54,2,7,4,49,50,3,1,155,8,1,7.094234845924755
0.92,5,8,1,54,50,3,0,21410,0,2,6.401917196727186
0.63,5,9,5,66,50,3,1,27000,0,1,7.094234845924755
0.6,0,5,0,57,50,3,1,45,14,1,7.094234845924755
0.69,4,4,0,41,50,3,0,8023,0,1,6.401917196727186
0.61,3,7,1,46,50,3,1,585,0,1,6.486282732728156
0.88,0,7,1,41,50,3,0,26,18,1,8.853808274977197
0.4,4,7,6,35,64,3,0,3023,0,1,7.094234845924755
0.84,2,4,1,47,50,3,1,206,20,2,7.1360296451253635
0.84,2,4,1,47,50,3,1,206,20,2,7.094234845924755
0.02,0,7,0,73,60,3,0,39,13,1,7.670269927525672
0.92,4,4,3,32,72,3,1,9307,17,1,3.7839623353606284
0.79,4,5,2,79,50,3,1,4535,18,1,6.401917196727186
0.79,3,5,4,27,100,10,0,1780,7,1,7.094234845924755
0.38,3,4,1,32,63,3,1,824,19,1,7.094234845924755
0.81,4,11,0,36,64,3,0,2757,2,1,7.094234845924755
0.96,3,10,1,67,50,3,1,570,20,1,7.094234845924755
0.58,2,11,9,31,57,0,0,269,7,1,8.206430805920359
0.57,3,11,0,47,55,3,0,1541,19,1,7.094234845924755
0.65,0,4,1,41,51,3,0,47,17,1,4.4942386252808095
0.68,3,7,0,22,106,3,1,1937,3,1,7.094234845924755
0.69,4,8,1,56,50,3,1,4456,14,2,7.094234845924755
0.88,3,4,7,33,51,0,1,1955,21,1,6.318643736817602
0.22,3,7,10,41,57,6,1,870,3,1,7.094234845924755
0.82,2,7,1,32,67,3,0,116,4,1,7.094234845924755
0.04,1,4,0,75,50,3,1,86,4,1,7.094234845924755
0.95,2,5,5,51,50,3,0,171,17,1,5.081404364984463
0.96,0,7,4,29,57,3,1,20,1,1,7.094234845924755
0.53,3,7,0,57,50,3,0,620,11,1,7.094234845924755
0.89,2,7,3,30,60,3,0,377,20,1,4.466942066704648
0.81,0,7,2,43,54,3,0,28,16,2,10.468637995970026
0.81,0,7,2,43,54,3,0,28,16,2,7.094234845924755
0.7,3,4,2,46,50,3,0,726,19,2,7.094234845924755
0.42,1,11,2,48,62,3,0,60,0,1,7.094234845924755
0.71,2,12,1,45,50,3,0,418,12,1,6.867870345283222
0.78,1,6,9,32,95,3,1,75,11,1,2.0476928433652555
0.56,3,5,7,33,57,7,0,1955,21,1,6.482617935076452
0.49,3,11,0,49,50,3,0,709,20,2,7.094234845924755
0.47,4,10,15,38,76,0,1,6570,0,1,7.094234845924755
0.95,4,7,1,57,50,3,0,6736,0,1,7.094234845924755
0.41,4,8,2,45,85,10,0,3385,0,2,7.094234845924755
0.44,4,5,1,57,50,3,1,3301,15,1,7.094234845924755
0.95,0,5,2,49,51,3,0,9,14,1,5.776475160049642
0.82,4,7,2,69,50,3,0,2658,17,2,9.827540197446652
0.82,4,7,2,69,50,3,0,2658,17,2,8.507344855361422
0.47,2,4,0,56,53,3,0,282,14,1,7.094234845924755
0.62,0,7,7,66,50,7,1,32,6,1,7.094234845924755
0.87,4,10,10,34,64,3,1,3661,0,1,5.764971642968623
0.6,5,7,1,69,50,3,0,27000,0,1,6.322816554844147
0.75,3,4,0,26,72,3,1,1063,7,2,7.094234845924755
0.86,2,7,1,57,58,3,0,116,20,1,7.094234845924755
0.34,2,5,0,70,50,3,0,353,13,1,7.094234845924755
0.7,4,5,1,53,50,3,1,2951,8,1,5.637820718978442
0.8,3,4,1,46,50,3,0,581,20,1,7.094234845924755
0.71,2,5,3,25,72,7,1,311,20,1,7.094234845924755
0.48,5,4,3,47,50,3,1,13719,0,1,7.094234845924755
0.57,2,6,1,28,64,3,0,209,17,1,7.094234845924755
0.41,3,5,10,26,90,7,0,1289,7,3,8.137068291041487
0.74,2,5,1,33,50,3,1,435,8,2,7.317305365526572
0.87,2,6,1,66,50,3,0,445,18,1,7.094234845924755
0.74,2,5,1,33,50,3,1,435,8,2,7.02919384725252
0.37,2,5,0,64,50,3,1,421,20,1,7.094234845924755
0.67,3,8,0,45,72,3,1,1425,8,1,7.094234845924755
0.96,0,8,2,59,50,3,0,47,0,2,7.279160202143373
0.96,0,8,2,59,50,3,0,47,0,2,6.175867270105761
0.84,2,7,4,45,50,3,0,169,19,1,7.491968901497474
0.71,0,13,15,45,50,2,1,32,18,1,7.224316310984294
0.28,3,6,1,39,64,3,1,1895,7,1,7.02919384725252
0.56,4,6,2,28,64,3,0,3021,12,1,4.437106500940836
0.1,2,7,4,38,50,0,0,127,20,2,8.613956859848546
0.1,2,7,4,38,50,0,0,127,20,2,7.094234845924755
0.36,2,11,1,55,50,3,0,105,19,1,7.094234845924755
0.87,1,10,15,53,50,3,0,75,1,1,7.094234845924755
0.37,5,4,3,75,50,3,1,27000,0,1,5.852690866241513
0.63,4,5,3,51,50,0,1,4220,0,1,7.094234845924755
0.6,1,10,6,47,69,3,0,50,13,1,7.12738867690983
0.78,2,4,1,30,95,3,1,135,20,1,8.96034578660502
0.74,3,6,9,26,105,6,0,1055,14,2,6.728712341636785
0.74,3,6,9,26,105,6,0,1055,14,2,7.094234845924755
0.95,1,8,1,63,50,3,1,61,11,1,4.442886522930644
0.78,4,7,3,28,68,3,1,7259,7,1,8.385299314473647
0.37,4,5,15,54,50,3,1,2681,3,2,4.460260014192283
0.37,4,5,15,54,50,3,1,2681,3,2,7.094234845924755
0.37,1,4,2,66,50,3,1,76,19,1,7.094234845924755
0.71,4,8,2,47,50,3,0,9850,0,1,6.401917196727186
0.52,3,7,1,34,85,3,1,1842,0,1,6.322816554844147
0.5,3,8,0,58,50,4,0,557,2,1,7.094234845924755
0.79,3,7,0,29,76,3,0,1780,7,1,7.094234845924755
0.33,3,4,1,48,50,3,1,824,19,1,6.453687989034755
0.51,3,5,1,73,90,3,1,1011,16,1,7.094234845924755
0.43,1,8,2,52,50,3,0,76,19,1,7.094234845924755
0.78,0,6,3,27,72,8,0,26,2,1,7.02919384725252
0.9,4,7,0,27,100,3,1,8455,17,1,7.094234845924755
0.95,4,5,1,27,95,3,0,2354,0,2,6.681519451506336
0.74,5,10,3,41,64,3,1,27000,0,1,7.094234845924755
0.76,4,6,9,23,95,0,0,2983,7,1,7.029087564149662
0.63,1,12,6,27,85,3,0,92,14,1,7.094234845924755
0.17,4,4,2,28,85,3,1,4348,14,1,7.516776008059292
0.54,2,10,3,33,85,3,1,465,14,1,7.094234845924755
0.87,2,11,2,43,95,3,0,271,20,1,7.094234845924755
0.79,4,4,1,53,50,3,1,3724,0,1,7.094234845924755
0.67,3,5,0,67,100,3,1,817,0,2,5.472900727246869
0.5,3,5,5,50,50,6,0,1955,21,1,7.02919384725252
0.41,2,7,1,25,80,3,0,389,20,2,6.322816554844147
0.41,2,7,1,25,80,3,0,389,20,2,7.094234845924755
0.16,1,11,1,39,84,3,0,61,21,1,7.094234845924755
0.37,4,6,7,49,50,3,1,2618,2,1,9.852233731053722
0.87,3,11,1,65,50,3,1,528,2,1,6.33693192019845
0.37,2,7,2,45,50,3,0,428,3,1,7.094234845924755
0.32,3,12,0,33,64,3,0,1868,0,1,7.094234845924755
0.7,4,6,3,42,50,3,1,6864,0,1,4.507557357121091
0.35,4,5,0,37,100,9,1,2733,20,1,5.942668132919018
0.45,5,7,1,28,72,3,1,16533,0,1,6.401917196727186
0.13,2,4,0,56,50,3,1,301,19,1,7.02919384725252
0.46,4,9,5,44,50,3,1,3317,20,2,4.453416630760555
0.46,4,9,5,44,50,3,1,3317,20,2,7.094234845924755
0.87,4,5,1,48,50,7,1,3834,0,1,7.029087564149662
0.48,2,4,0,22,85,3,1,136,19,1,6.401917196727186
0.5,2,8,0,34,50,3,0,455,19,1,7.094234845924755
0.79,0,12,1,34,59,3,0,28,2,1,7.094234845924755
0.7,3,9,3,61,50,3,1,720,15,1,7.02919384725252
0.87,2,15,2,60,50,3,0,218,20,1,7.094234845924755
0.91,2,10,4,69,50,3,1,216,20,3,8.283276821098195
0.91,2,10,4,69,50,3,1,216,20,3,7.094234845924755
0.84,0,8,1,62,50,3,0,22,19,2,7.094234845924755
0.79,3,4,10,33,106,9,1,1289,7,1,5.879051442528994
0.95,4,5,1,27,95,3,0,2354,0,2,7.094234845924755
0.95,4,15,4,63,50,3,1,3317,20,1,6.322816554844147
0.71,0,4,1,41,50,3,0,7,11,1,7.094234845924755
0.79,1,6,1,57,50,3,0,74,15,1,7.094234845924755
0.62,1,4,0,47,50,3,1,79,19,1,6.510332742517157
0.29,3,5,10,18,100,6,1,685,14,1,7.434735708354827
0.37,2,4,4,56,50,3,1,225,21,2,7.50177801466865
0.37,2,4,4,56,50,3,1,225,21,2,7.465140008528082
0.7,3,4,2,46,50,3,0,726,19,2,7.094234845924755
0.53,4,6,5,45,100,3,1,3317,20,1,7.029087564149662
0.37,2,7,4,32,68,3,0,301,19,1,7.38991596089433
0.96,4,12,6,76,50,3,0,3317,20,1,7.094234845924755
0.63,3,4,4,67,50,3,1,942,17,1,7.094234845924755
0.67,3,5,0,67,100,3,1,817,0,2,7.10002716662926
0.28,2,5,5,27,68,10,0,238,13,1,5.895118831321297
0.29,4,7,2,33,60,3,0,2606,7,1,7.094234845924755
0.71,2,6,2,71,50,3,0,328,20,1,7.094234845924755
0.71,1,7,3,76,50,3,0,66,20,1,7.094234845924755
0.79,3,11,2,43,50,3,0,1063,17,1,6.401917196727186
0.54,4,6,3,56,50,3,1,2317,0,1,7.094234845924755
0.36,4,5,1,29,64,3,1,2375,0,1,7.094234845924755
0.79,4,9,2,39,85,3,1,4358,0,1,7.094234845924755
0.77,4,12,2,57,50,3,0,3093,3,1,6.858417965153627
0.69,2,10,1,43,95,3,0,458,20,1,7.029087564149662
0.12,3,8,0,59,50,3,0,626,20,1,7.5617093460079285
0.5,3,10,6,44,50,3,1,824,19,2,6.528469482657275
