date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Year,Quarter_Number,Month_Number,gdp_per_capita,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,CPI_trend,INDPRO_trend,unemployment_rate_trend,PPI_trend,seasonally_adjusted_PPI,1_year_rate_acf1_original,1_year_rate_sumsq_acf_original,1_year_rate_acf1_diff1,1_year_rate_sumsq_acf_diff1,1_year_rate_acf1_diff2,1_year_rate_sumsq_acf_diff2,1_year_rate_acf_seasonal,3_months_rate_acf1_original,3_months_rate_sumsq_acf_original,3_months_rate_acf1_diff1,3_months_rate_sumsq_acf_diff1,3_months_rate_acf1_diff2,3_months_rate_sumsq_acf_diff2,3_months_rate_acf_seasonal,6_months_rate_acf1_original,6_months_rate_sumsq_acf_original,6_months_rate_acf1_diff1,6_months_rate_sumsq_acf_diff1,6_months_rate_acf1_diff2,6_months_rate_sumsq_acf_diff2,6_months_rate_acf_seasonal,CPI_acf1_original,CPI_sumsq_acf_original,CPI_acf1_diff1,CPI_sumsq_acf_diff1,CPI_acf1_diff2,CPI_sumsq_acf_diff2,CPI_acf_seasonal,INDPRO_acf1_original,INDPRO_sumsq_acf_original,INDPRO_acf1_diff1,INDPRO_sumsq_acf_diff1,INDPRO_acf1_diff2,INDPRO_sumsq_acf_diff2,INDPRO_acf_seasonal,10_year_rate_acf1_original,10_year_rate_sumsq_acf_original,10_year_rate_acf1_diff1,10_year_rate_sumsq_acf_diff1,10_year_rate_acf1_diff2,10_year_rate_sumsq_acf_diff2,10_year_rate_acf_seasonal,share_price_acf1_original,share_price_sumsq_acf_original,share_price_acf1_diff1,share_price_sumsq_acf_diff1,share_price_acf1_diff2,share_price_sumsq_acf_diff2,share_price_acf_seasonal,unemployment_rate_acf1_original,unemployment_rate_sumsq_acf_original,unemployment_rate_acf1_diff1,unemployment_rate_sumsq_acf_diff1,unemployment_rate_acf1_diff2,unemployment_rate_sumsq_acf_diff2,unemployment_rate_acf_seasonal,PPI_acf1_original,PPI_sumsq_acf_original,PPI_acf1_diff1,PPI_sumsq_acf_diff1,PPI_acf1_diff2,PPI_sumsq_acf_diff2,PPI_acf_seasonal,OECD_CLI_index_acf1_original,OECD_CLI_index_sumsq_acf_original,OECD_CLI_index_acf1_diff1,OECD_CLI_index_sumsq_acf_diff1,OECD_CLI_index_acf1_diff2,OECD_CLI_index_sumsq_acf_diff2,OECD_CLI_index_acf_seasonal,CSI_index_acf1_original,CSI_index_sumsq_acf_original,CSI_index_acf1_diff1,CSI_index_sumsq_acf_diff1,CSI_index_acf1_diff2,CSI_index_sumsq_acf_diff2,CSI_index_acf_seasonal,gdp_per_capita_acf1_original,gdp_per_capita_sumsq_acf_original,gdp_per_capita_acf1_diff1,gdp_per_capita_sumsq_acf_diff1,gdp_per_capita_acf1_diff2,gdp_per_capita_sumsq_acf_diff2,gdp_per_capita_acf_seasonal
1967-12-01,0.0,1.54,0.04,0.0,5.5915,4.968999999999999,5.492,34.0,36.2905,5.7,1.8257602814563136,3.8,27.2,100.714201421608,92.9,1967,4,12,25137.33333333333,36.003853641982424,33.984044334111054,3.7943281828461353,0,0,0,0,0,0,0,0,0,33.97878775453759,35.9095265547458,3.75069909137548,27.340739740612197,27.269793326825717,0.7677760523214123,1.4167230568686102,,,,,,0.6394147502431956,0.976603341363315,,,,,,0.7280581790525389,1.2813144183118974,,,,,,0.7399684252072095,1.457867100280621,,,,,,0.6021828888847461,0.8631236027879564,,,,,,0.778250480047419,1.503303609812336,,,,,,0.5733061207849253,0.9783001947120057,,,,,,0.09090909090909129,0.260472727272727,,,,,,,,,,,,,0.7910986249281309,1.6873865602002447,,,,,,0.4580484692216553,0.6264315289314518,,,,,,0.6509292913791348,1.0839532215426924,,,,,
1968-01-01,1.54,0.02,0.02,0.0,5.297272727272728,4.995909090909091,5.235454545454545,34.1,36.2514,5.53,1.82986188702702,3.7,27.3,100.750372235043,97.2,1968,1,1,25288.0,36.11307287510892,34.11015297169059,3.7484118191616074,0,0,0,0,0,0,0,0,0,34.095195276268164,36.08423852271326,3.7325282523084207,27.37471770687971,27.478427266024354,0.8316042132504256,1.6715169795780396,0.33927302014012584,0.39975120281590154,,,,0.7233182355804781,1.2214406111305092,0.3447467909353709,0.29527306021554867,,,,0.8038634153944513,1.5675157935780994,0.23352299817830574,0.2899955908469688,,,,0.772288261515602,1.6393807031565684,-0.2499999999999968,0.375,,,,0.7352672758669687,1.2886149147730037,-0.19852860390150925,0.4546931488367732,,,,0.8281379677687077,1.7680622839030982,0.2018770048722945,0.566876454925622,,,,0.6003709917434968,0.9795523413547119,-0.21844634156738466,0.2675507627573818,,,,0.15000000000000038,0.4912999999999992,-0.1131725417439709,0.3269187081140431,,,,-0.007575757575762965,0.0220959595959587,-0.009090909090909078,0.031818181818181815,,,,0.8167517280316193,1.8708439931978438,0.5894233843015966,1.1186516262823707,,,,0.23328765037307814,0.29585565974683686,0.006655980816489586,0.2944505922862184,,,,0.6955509569964983,1.1880159156868162,0.579261200585255,0.7317698208467351,,,
1968-02-01,0.02,0.04,0.0,0.14,5.243684210526316,4.978947368421053,5.16842105263158,34.2,36.3813,5.56,1.7706136543133948,3.8,27.3,100.754116310741,97.2,1968,1,2,25409.33333333333,36.09448257724394,34.13809541587368,3.838719472289833,0,0,0,0,0,0,0,0,0,34.218114364981275,36.26107373585605,3.7089714966037457,27.42596929450027,27.31798265538353,0.847848678654656,1.81716539156773,0.3818993907329816,0.47496814494351713,-0.10787385382712476,0.256978012540024,,0.7779994168822019,1.4881903511516064,0.3461848845948956,0.30946374138385824,-0.3778729924046529,0.24214460369948385,,0.8276686243087668,1.7555497113518237,0.2695913338408002,0.340803677874104,-0.33850204907592735,0.3299394014683932,,0.7948081017633891,1.7617387135475606,-0.249999999999997,0.37499999999999695,-0.6743970315398946,0.8762920752716692,,0.7792463719906834,1.633233885681566,-0.19743848766559488,0.45226729988402786,-0.6043239851101165,0.9853321955908835,,0.832527123739185,1.8916429313620382,0.26600048303345114,0.5715277266070915,0.007642531080031428,0.5228085536281764,,0.5645491793697686,0.9155955309921182,-0.07260781126326168,0.24863380893334242,-0.3097339814043529,0.34800875606201,,0.19887429643527216,0.48506893966327375,-0.1999999999999999,0.6299999999999993,-0.4329004329004332,0.8383924276781407,,0.4860139860139849,0.31132329209252124,-0.09848484848484851,0.03173783287419652,-0.5,0.25,,0.8352567217143781,1.9900515963545427,0.6717076892565563,1.2685052049735104,0.7583786150459648,1.3211930741640991,,0.31156366186277956,0.42308480537867993,-0.022274403246396825,0.2939498303096601,-0.278238993710692,0.4250631699695436,,0.7469920084003797,1.345874031421186,0.6497361166488727,0.8917243589714984,-0.1325792129053603,0.456820151651795,
1968-03-01,0.04,0.02,0.0,0.0,5.416190476190476,5.1657142857142855,5.331428571428571,34.3,36.4949,5.74,1.7417517905546225,3.7,27.3,100.746450889828,97.2,1968,1,3,25530.666666666668,36.34716214829268,34.28311530714241,3.738306150428012,0,0,0,0,0,0,0,0,0,34.34325810327682,36.43470992199209,3.683261512410696,27.4822344651374,27.37647520064013,0.8395147634444615,1.810435155330792,0.36067427827525184,0.45196632010245275,-0.06467793710725758,0.30403384458148014,,0.7871258198618347,1.6609277266060396,0.3251473103348057,0.24736379939416858,-0.38142651235069747,0.2587615309663626,,0.8235892988303094,1.8022750330538306,0.25176917834736373,0.3112657174771719,-0.30786796068584305,0.3001002331433183,,0.8117019678533886,1.8358429265021072,-0.24999999999999595,0.37499999999999595,-0.673676012461064,0.8734102202036073,,0.8096508367753027,1.926058649141063,-0.1967023892001086,0.45348380454909754,-0.6075489179849344,0.9972866905508678,,0.8107704477231613,1.8033725413868902,0.22525132282355298,0.6852172209042905,0.10255581415395316,0.5320519539619204,,0.559749860104101,0.9030165302606961,0.13776463548774176,0.27377220989831724,-0.41344666240228484,0.5157067790274709,,0.2010582010582014,0.23344111307074253,-0.27518959913326047,0.6211817534090277,-0.517285861713106,1.1425283504852697,,0.6471861471861485,0.6497113997114036,-0.08974358974358976,0.03291420118343196,-0.5,0.25,,0.8479207068102099,2.043446446369306,0.7403052872141225,1.4700124487972295,0.7612500338269212,1.3247512246771542,,0.36632536973833973,0.49295468399942616,-0.02040704888044885,0.31792183396009793,-0.278238993710692,0.4250631699695436,,0.7808160194266464,1.4829877957295796,0.6674068654070566,0.9876110538424567,-0.09999952409506402,0.44123323421067706,
1968-04-01,0.02,0.0,0.0,0.0,5.4725,5.377000000000001,5.4895000000000005,34.4,36.5477,5.64,1.8297390618473128,3.5,27.3,100.739582986566,97.2,1968,2,4,25652.0,36.38469258019356,34.38528885718335,3.5780212523347266,0,0,0,0,0,0,0,0,0,34.4702858379885,36.60409250180452,3.6558648307770647,27.54238870253919,27.326442218767124,0.8466987246285648,1.7379702904106555,0.3600273429851423,0.44736121441535637,-0.09095713658476233,0.29298659205243455,,0.7964466058027146,1.7178927151770327,0.336459053242783,0.23515634807686384,-0.3836067879875365,0.25925460933235994,,0.8235995566436637,1.7284611892896942,0.25630413821847675,0.3378460005002128,-0.3135522199034621,0.29900077109865664,,0.8250599520383698,1.8634395361408769,-0.24999999999999614,0.374999999999998,-0.6730769230769282,0.8649079357485164,,0.8360919642492645,2.1470443749978765,-0.1920085800049083,0.4583224747217727,-0.6055196156710132,0.986546441862797,,0.8361776642600686,1.8115247459451376,0.13442951945925286,0.40529837502488986,-0.032311990039375495,0.5712457735553386,,0.41834372987233087,0.5567178010762788,-0.06330298083030568,0.3790744564896169,-0.0880384656017475,0.31133513240010113,,0.30288713910761084,0.3195193612609445,-0.08777540867093078,0.49138016385733085,-0.439743589743589,0.9582465848491468,,0.7257575757575818,0.9800505050505324,-0.08241758241758243,0.03444632290786138,-0.5,0.25,,0.8563426935279836,2.045361611902349,0.7901777755864612,1.7045289566505681,0.7611491504883549,1.329411263145425,,0.4066283171176297,0.5114920354194001,-0.018827238697779504,0.321576518976714,-0.27823899371069205,0.42506316996954363,,0.8051183901636967,1.605043178891589,0.680367280181614,1.097152228811608,-0.09111409533583355,0.4339852730447382,
1968-05-01,0.0,0.0,0.14,0.0,5.842727272727273,5.655909090909091,5.834090909090909,34.5,36.9577,5.87,1.8660789599107013,3.5,27.7,100.741587322869,92.4,1968,2,5,25695.0,36.9386605111865,34.56134196244958,3.5697464782381725,0,0,0,0,0,0,0,0,0,34.59908410782476,36.77014398099343,3.6281053182089607,27.605807680381396,27.58360968446128,0.8142275333346304,1.4493547420912465,0.32070163220018466,0.5534068906654136,-0.1207766048944477,0.2791780721422757,,0.7993371153889713,1.621777586749972,0.34955950450386614,0.2675190838347332,-0.38403555622109786,0.2612715236005204,,0.8016417667234446,1.4641570203323013,0.2555413746138818,0.45442984279311205,-0.31390390804033963,0.30100171362198935,,0.8360380797270051,1.8851464113625014,-0.2499999999999964,0.37499999999999634,-0.6725714285714344,0.8753622857142936,,0.818426466774773,2.122957115361479,-0.2045397440413396,0.31972982894358204,-0.5845233032724123,0.828351904806995,,0.8076122709270324,1.6397252969867266,0.016303779259839658,0.29371408366249263,-0.21360413576701298,0.3678804981423351,,0.4377655091319588,0.347423432178608,0.05862721361830953,0.39846029269311356,-0.26939811653299545,0.4341341508678328,,0.5474999999999998,0.6084562499999995,-0.11388888888888865,0.48603395061728455,-0.4374999999999998,0.703125,,0.2269908616188058,0.19622213599009725,-0.02898550724637729,0.0668452005881136,-0.06416464891041346,0.11498132720482916,,0.8617321203764772,2.0137385231448808,0.8254865696875954,1.9083343014945713,0.7619894264778423,1.3631411713176775,,0.22217573221757425,0.3911588557623282,0.00540740109624832,0.24681820384566974,-0.22040446456383947,0.37756700382974373,,0.8407615430232177,1.7840833525180309,0.6370847175190235,0.9293033539845501,-0.02413695393352376,0.03271028157460241,
1968-06-01,0.0,0.0,0.0,0.06,5.6770000000000005,5.5235,5.638,34.7,37.0934,5.72,1.904963151627816,3.7,27.8,100.766466224131,92.4,1968,2,6,25738.0,37.27554533530616,34.69580020496687,3.648509351433543,0,0,0,0,0,0,0,0,0,34.73046744411068,36.934937892848055,3.6013679660369777,27.67265414821796,27.70736281360143,0.8500727435600856,1.4383157466973029,0.2493903394565082,0.47366451458402137,-0.20001504821366398,0.44673858070482264,,0.8531965573167265,1.749875052788627,0.2995158036962298,0.23106185358635895,-0.3324037823304245,0.32394675128321426,,0.845828635909759,1.492709852426048,0.19052900876916817,0.3958678757916676,-0.30236972974849896,0.45582305644834004,,0.8300159733314811,1.8408221172654096,-0.2159810126582189,0.29594678837525296,-0.6182648401826497,0.8460895310773344,,0.8388932014834869,2.09787777819005,-0.20693263024957592,0.31921203758024996,-0.6073720686743478,0.7744085736317071,,0.836635505937744,1.649925502827554,-0.08537982101001587,0.2791324329920811,-0.3653770157435161,0.3299766187144825,,0.49965057904244414,0.30854752860110785,0.09529232578267767,0.24330707612402272,-0.2727026851729499,0.42758852037541883,,0.6164272160477091,0.7351936857254984,-0.0629125412541252,0.7393978684687776,-0.2803482587064671,0.7457708348803237,,0.5656417112299482,0.45088830464125923,0.12599206349206643,0.08431063397581505,-0.49273927392739236,0.3453618381640175,,0.864493815164359,1.9617765356869135,0.8517198338625072,2.0490247854814254,0.762492828079499,1.4460716250978685,,0.3597879733043097,0.584862625268676,-0.003065260793611144,0.24843718569906217,-0.3596114030896641,0.5079852006200707,,0.8625875136683334,1.963047956382711,0.648844412054438,0.9036979533884844,-0.00994649193316189,0.031896523249149274,
1968-07-01,0.0,0.14,0.0,0.04,5.3940909090909095,5.313181818181818,5.407272727272727,34.9,37.0366,5.5,1.90016652370948,3.7,27.9,100.828044993566,92.4,1968,3,7,25781.0,37.37129224147069,34.88197654390846,3.6779966268483215,0,0,0,0,0,0,0,0,0,34.86576448270864,37.099257143107394,3.576415815695717,27.74360026734185,27.77859479863349,0.8710220201824761,1.4991263936308141,0.29815886713499806,0.43855892226868176,-0.1498041071435491,0.40430453237672004,,0.8868407480909362,1.919596112365138,0.33320338128062216,0.2588643470428494,-0.30041900497988805,0.29637134288729655,,0.8691194206608888,1.5750173068841364,0.24067677456235642,0.3748297814404927,-0.28822112532191796,0.4382605958064436,,0.830477465417225,1.7936175959726668,-0.0432172869147577,0.15723444239640896,-0.6298076923077,0.8703181500657593,,0.8667874239047701,2.179168829203613,-0.19421654581788558,0.2956093522088314,-0.573671080468644,0.7303675487056547,,0.8493980712858459,1.6888556204496192,0.09404926768452845,0.35184902933146756,-0.32469412643598733,0.3284391409404792,,0.6050172791464071,0.4335930926187559,0.06891073168888115,0.28085799547296,-0.26039365698050304,0.3013045372945256,,0.6239316239316234,0.8105595733800847,-0.056083302886371804,0.7387421776227451,-0.34999999999999976,0.9224999999999985,,0.6907596371882104,0.7400736607946337,0.14641477028768002,0.10067883230114724,-0.48506380510440367,0.33736429555315567,,0.8647938047352612,1.8973309069796986,0.8681738117568144,2.1190635388045,0.7653047609214537,1.5636834336296788,,0.44904141075111653,0.648644920086967,-0.0028744809964867083,0.2541849766621189,-0.35961140308966405,0.5079852006200707,,0.8771727096207868,2.121513221758735,0.6587255629140081,0.9704100419460333,-0.009283000892065076,0.03083286735572248,
1968-08-01,0.14,0.0,0.0,0.0,5.149090909090909,5.086818181818182,5.231363636363636,35.0,37.1399,5.42,1.8701243482782672,3.5,27.9,100.937993934745,92.4,1968,3,8,25791.666666666668,37.234198060728616,35.020264750677136,3.512689565924133,0,0,0,0,0,0,0,0,0,35.00594014130033,37.26243248244298,3.5531785840404444,27.817948028264944,27.84551433129806,0.8760493866257568,1.5244820346174341,0.356627667636051,0.4051256735675075,-0.1521774237490651,0.4105465838127782,,0.9040067596660538,2.048561988198111,0.3767679881483018,0.2908742277659804,-0.2987654504684558,0.2937089888550011,,0.8782669192168102,1.6310227960870878,0.28006445667260577,0.3556455018712986,-0.2889486171691928,0.4400398105862373,,0.8470977066306693,1.8272466817750972,-0.05982905982904935,0.1523988238731856,-0.5540796963946908,0.6458170054661768,,0.8753117565547581,2.229697124776169,-0.18827163251089282,0.2944643357138591,-0.579145688389417,0.7150873333354982,,0.8512187743968656,1.7005088722361337,0.17802275065313664,0.2806646312039559,-0.32660347031769865,0.4403077433694072,,0.6682049182390303,0.5751227787051425,0.09435798028232437,0.2551172406139859,-0.2295836468386444,0.24323511843720166,,0.547808427821966,0.9371257995661095,-0.05308641975308622,0.9755662246608758,-0.2288108791903854,0.9079567121986614,,0.784014557670774,1.080605461655445,0.13064087978764077,0.10936950163285714,-0.46428571428570914,0.38520408163264935,,0.8626167081447655,1.824674851218355,0.8729892648315666,2.132715062366205,0.7721450651448842,1.6895307667586597,,0.5114042517866936,0.5990623318202661,-0.0027060005105475037,0.25579088139937606,-0.35961140308966405,0.5079852006200707,,0.8920056229469224,2.2713226279801986,0.6526143269070517,1.1360935321950187,-0.00358192268444701,0.033176641529540994,
1968-09-01,0.0,0.0,0.06,0.02,5.182,5.194,5.254,35.1,37.2806,5.46,1.908471771911635,3.4,28.0,101.09627493651,92.4,1968,3,9,25802.33333333333,37.5463509105572,35.13241578231285,3.4488985310610247,0,0,0,0,0,0,0,0,0,35.15121196645211,37.42426661203539,3.5313506978207103,27.894593511051937,27.946396831548125,0.8753355750476435,1.5329602294942763,0.35641156864893264,0.4051524280889328,-0.13971251918521974,0.34738636971916703,,0.9010202486629636,2.1175412849564452,0.3567435169906935,0.28092157642813154,-0.28340464340554394,0.3050537335554685,,0.8786623467996743,1.6576858933672944,0.28215290776573876,0.35439158372779067,-0.2793833444717715,0.4173968619582567,,0.8595450490633363,1.90079863700134,-0.056459330143530814,0.1549160962432192,-0.5485053581500321,0.6396417052300302,,0.8799106304797382,2.2574541751426813,-0.18862728274014667,0.29675797348363375,-0.5777002856139233,0.7165348811222506,,0.8491788213157551,1.693367638965346,0.17923750034871522,0.2779470942415406,-0.29366880753764785,0.4288969661775287,,0.6581411309760179,0.6818259526600713,0.03941638321032359,0.3222674207288371,-0.24132278025895362,0.35020212875397333,,0.5999438832772159,1.0220535099089139,0.01399521531100505,0.9468446521370849,-0.2695371514901795,0.9861297551366729,,0.8068590350047307,1.3570565998865725,0.11275816122585208,0.16995836886002622,-0.48379185327361357,0.546723963523255,,0.8584325932015202,1.7500071602795395,0.8677702230707298,2.129184669256963,0.7862269094328168,1.8033823105824673,,0.5573072614319169,0.46981204282698885,-0.002556133216110865,0.2617288292676659,-0.3596114030896641,0.5079852006200707,,0.9023220512345669,2.397749844342515,0.679280443460711,1.3675247596578692,-0.0015507896904698743,0.03305635188635751,
