generator,freq,delta_s,cov_mean,cov_sd,realized_freq,rho_supp,rho_rare,gap,r2_supp,r2_rare,r2_gap,within_tert_rho,degenerate
correlated,0.02,3.0,90.2,1.88,0.0268,0.636,0.323,0.313,0.405,0.115,0.29,0.211,False
correlated,0.02,4.0,90.82,2.468,0.0268,0.661,0.348,0.312,0.387,0.123,0.265,0.187,False
correlated,0.05,0.0,93.25,0.879,0.0409,0.473,-0.065,0.538,0.237,0.014,0.222,-0.018,False
correlated,0.05,0.25,93.45,0.709,0.0409,0.462,-0.035,0.498,0.241,0.001,0.24,0.011,False
correlated,0.05,0.5,94.22,0.979,0.0409,0.452,0.085,0.367,0.155,0.008,0.147,0.059,False
correlated,0.05,0.75,95.38,0.243,0.0409,0.165,0.132,0.033,0.035,0.012,0.023,0.165,False
correlated,0.05,1.0,94.17,1.027,0.0409,0.516,0.042,0.474,0.249,0.004,0.245,-0.038,False
correlated,0.05,1.25,93.22,1.153,0.0409,0.472,0.107,0.365,0.26,0.006,0.254,0.089,False
correlated,0.05,1.5,91.98,1.239,0.0409,0.605,0.2,0.404,0.368,0.057,0.311,0.151,False
correlated,0.05,2.0,91.74,1.848,0.0409,0.601,0.214,0.387,0.363,0.051,0.312,0.125,False
correlated,0.05,3.0,90.2,1.88,0.0409,0.636,0.233,0.403,0.405,0.059,0.347,0.148,False
correlated,0.05,4.0,90.82,2.468,0.0409,0.661,0.233,0.428,0.387,0.052,0.335,0.099,False
correlated,0.08,0.0,93.25,0.879,0.0677,0.473,0.051,0.421,0.237,0.0,0.236,0.084,False
correlated,0.08,0.25,93.45,0.709,0.0677,0.462,0.042,0.42,0.241,0.003,0.238,0.077,False
correlated,0.08,0.5,94.22,0.979,0.0677,0.452,0.097,0.355,0.155,0.012,0.143,0.047,False
correlated,0.08,0.75,95.38,0.243,0.0677,0.165,0.137,0.029,0.035,0.014,0.021,0.163,False
correlated,0.08,1.0,94.17,1.027,0.0677,0.516,0.085,0.43,0.249,0.011,0.238,0.026,False
correlated,0.08,1.25,93.22,1.153,0.0677,0.472,0.204,0.269,0.26,0.029,0.231,0.177,False
correlated,0.08,1.5,91.98,1.239,0.0677,0.605,0.24,0.364,0.368,0.065,0.303,0.205,False
correlated,0.08,2.0,91.74,1.848,0.0677,0.601,0.212,0.389,0.363,0.046,0.317,0.124,False
correlated,0.08,3.0,90.2,1.88,0.0677,0.636,0.237,0.399,0.405,0.052,0.353,0.13,False
correlated,0.08,4.0,90.82,2.468,0.0677,0.661,0.188,0.473,0.387,0.03,0.358,0.02,False
correlated,0.12,0.0,93.25,0.879,0.1102,0.473,0.037,0.436,0.237,0.0,0.237,0.066,False
correlated,0.12,0.25,93.45,0.709,0.1102,0.462,0.055,0.407,0.241,0.004,0.237,0.085,False
correlated,0.12,0.5,94.22,0.979,0.1102,0.452,0.148,0.303,0.155,0.02,0.135,0.104,False
correlated,0.12,0.75,95.38,0.243,0.1102,0.165,0.156,0.009,0.035,0.025,0.01,0.193,False
correlated,0.12,1.0,94.17,1.027,0.1102,0.516,0.106,0.41,0.249,0.012,0.237,0.032,False
correlated,0.12,1.25,93.22,1.153,0.1102,0.472,0.229,0.244,0.26,0.033,0.227,0.206,False
correlated,0.12,1.5,91.98,1.239,0.1102,0.605,0.213,0.392,0.368,0.054,0.314,0.151,False
correlated,0.12,2.0,91.74,1.848,0.1102,0.601,0.18,0.421,0.363,0.04,0.323,0.137,False
correlated,0.12,3.0,90.2,1.88,0.1102,0.636,0.198,0.439,0.405,0.041,0.364,0.124,False
correlated,0.12,4.0,90.82,2.468,0.1102,0.661,0.136,0.525,0.387,0.021,0.366,-0.015,False
correlated,0.2,0.0,93.25,0.879,0.1858,0.473,-0.019,0.492,0.237,0.002,0.235,0.003,False
correlated,0.2,0.25,93.45,0.709,0.1858,0.462,0.076,0.386,0.241,0.002,0.239,0.12,False
correlated,0.2,0.5,94.22,0.979,0.1858,0.452,0.106,0.346,0.155,0.006,0.149,0.117,False
correlated,0.2,0.75,95.38,0.243,0.1858,0.165,0.159,0.007,0.035,0.028,0.007,0.198,False
correlated,0.2,1.0,94.17,1.027,0.1858,0.516,0.103,0.413,0.249,0.007,0.243,0.055,False
correlated,0.2,1.25,93.22,1.153,0.1858,0.472,0.188,0.284,0.26,0.014,0.246,0.202,False
correlated,0.2,1.5,91.98,1.239,0.1858,0.605,0.129,0.476,0.368,0.017,0.351,0.104,False
correlated,0.2,2.0,91.74,1.848,0.1858,0.601,0.101,0.499,0.363,0.013,0.35,0.094,False
correlated,0.2,3.0,90.2,1.88,0.1858,0.636,0.143,0.493,0.405,0.022,0.383,0.101,False
correlated,0.2,4.0,90.82,2.468,0.1858,0.661,0.089,0.572,0.387,0.008,0.38,0.002,False
correlated,0.3,0.0,93.25,0.879,0.285,0.473,-0.028,0.501,0.237,0.0,0.236,-0.003,False
correlated,0.3,0.25,93.45,0.709,0.285,0.462,0.045,0.418,0.241,0.001,0.241,0.042,False
correlated,0.3,0.5,94.22,0.979,0.285,0.452,0.032,0.42,0.155,0.0,0.155,-0.07,False
correlated,0.3,0.75,95.38,0.243,0.285,0.165,0.131,0.034,0.035,0.014,0.021,0.158,False
correlated,0.3,1.0,94.17,1.027,0.285,0.516,0.067,0.449,0.249,0.005,0.245,0.049,False
correlated,0.3,1.25,93.22,1.153,0.285,0.472,0.175,0.298,0.26,0.016,0.244,0.193,False
correlated,0.3,1.5,91.98,1.239,0.285,0.605,0.099,0.506,0.368,0.015,0.353,0.07,False
correlated,0.3,2.0,91.74,1.848,0.285,0.601,0.009,0.592,0.363,0.004,0.359,-0.005,False
correlated,0.3,3.0,90.2,1.88,0.285,0.636,0.093,0.543,0.405,0.018,0.388,0.058,False
correlated,0.3,4.0,90.82,2.468,0.285,0.661,0.087,0.574,0.387,0.015,0.372,0.056,False
